at,content,score
2014-03-25 08:17:12,Please download this because this is a great game for kids and mom's the kid's that always bother you NOW they won't because this will get there badness out and the goodness in this will teach them there lesson!!!!,5
2016-10-09 01:58:33,I love it,5
2015-10-02 05:59:21,Me and all my friends played it all the time like me on my ipad,5
2020-03-27 09:09:30,Used to be a lot of fun. Whole game is geared for purchases now. Response: Your game isn't pay to win. Its grind until frustration pushes you to purchase. You designed the game to get the most amount of money from people who play it.,1
2017-01-18 08:49:26,"A good  ""oh I'm constipated"" game.",5
2015-04-30 13:28:27,Fade game,5
2014-09-15 05:08:47,,5
2024-02-07 00:21:45,No word's to explain,5
2015-12-27 21:06:40,The jackpot joyride is cool and you get an adventure.,4
2014-10-27 08:17:24,I had it for my first tablet and I will git it again.,5
2015-05-11 03:23:24,Love it so much,5
2014-05-13 02:22:45,Excellent,4
2015-05-25 22:36:51,Love it,5
2012-10-17 15:09:08,Very gud game. But please update it for android asap. I will be obliged,5
2017-01-11 12:13:38,Ihj,5
2018-04-26 03:11:10,Awesome,5
2013-08-28 22:13:52,So cool,5
2014-12-31 00:39:16,I got flash without any laggs.... totally!,5
2019-03-02 16:25:51,this bad game is glitchy for me when I play it,1
2012-10-20 23:38:45,This game sucks!!! Takes your coins away..,1
2014-12-12 12:57:09,Loveeeeeeeeee,5
2018-03-26 21:48:28,Williams.Ty,5
2014-02-03 04:21:28,The game is so easy,5
2019-03-24 01:31:43,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼,5
2015-10-25 18:21:03,A good innovative game and its not boring at any point of time,5
2015-03-02 22:41:58,It's a good &crazy game for fun & adventure loving persons,5
2014-02-04 07:22:18,I love this game,5
2018-08-31 13:37:10,Very addictive and enjoyable,5
2017-07-24 15:41:04,Amazing I loved it,5
2015-08-27 15:41:19,I am a jetpack joyride junkie! This new update has me on my phone 24/7,5
2013-03-08 18:21:47,It's a cool game,5
2013-03-28 12:04:21,"Fun, fun, fun!!!  :)",5
2023-07-22 19:06:30,Love this game but even after buying no ads I am still seeing ads for rewards. So why have that option to begin with,4
2014-10-09 08:42:08,So fun,5
2019-03-15 23:46:49,good game love it,5
2018-07-09 23:00:42,THIS GAME IS PERFECT I LOVE THIS,5
2017-10-05 16:17:54,Great,5
2020-03-09 05:42:34,it was very fun and cool -veer,1
2017-05-27 22:04:00,I am hack this game gold is unlimited,5
2012-11-21 19:39:02,Good,5
2015-11-22 02:03:58,Game is amazing love it get now,5
2019-04-25 10:28:19,excellent good,5
2012-10-03 03:07:46,Very good game! I highly recommend this game. Getting to level 14 was pretty fun because of all the missions. Favorite vehicle has to be the teleporter haha,5
2021-06-20 11:22:28,Rajesh,3
2017-06-05 16:35:19,Nice game grate time killer,4
2015-10-22 19:08:32,My child loves it even cries for this app so well done thanks a lot,5
2016-05-07 04:53:36,Loved the soul up out,5
2018-03-13 08:57:07,Some times it's hard Bute I love it,5
2016-12-27 13:16:51,This game is so cool,4
2017-12-28 14:40:30,Best after coc and mini militrya,5
2014-09-27 15:00:39,The best,5
2017-10-24 03:38:33,Good,5
2014-01-24 05:22:09,This gane is my life,5
2014-01-15 20:18:25,Hvb,5
2018-03-01 05:02:43,"This game is awesome, also the underwater bits remind me of subnautica",5
2015-08-22 17:43:21,Love it,4
2015-10-16 22:09:22,It is a cool game,5
2013-09-03 00:03:43,"Black screen. Please fix! !!!!!""",1
2012-10-09 04:51:14,Can't downland,1
2015-10-12 04:45:40,This game is awesome and everybody should play this game,5
2013-02-05 21:58:07,It is very cool game.,4
2017-01-02 04:31:55,Best game,5
2018-01-28 03:31:17,I like this game,4
2017-01-04 05:56:09,Nothing is wrong with this game I loved it. It is an awesome game♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡♥♥♡♡☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★☆☆★★,5
2017-08-24 00:09:48,I love it,5
2016-09-05 16:13:56,Worst game ever played nothing to do with it,1
2022-07-13 21:14:32,This game is very fantastic,5
2015-05-09 23:14:15,It should make stuff cheaper its to expensive,4
2014-08-02 08:35:26,Very cool  every obstacles,5
2016-09-02 09:25:24,This is game is addictive but it's fun to play,5
2017-07-01 18:17:56,I love this game much..Thanks for making this app..😄😄😄,5
2015-12-11 08:59:07,Awsome  :-),4
2017-03-28 11:58:26,Make another robot. Not mean i dont like S.A.M but can ya make such as spooky robot or anyting,5
2018-05-30 00:49:30,It nice but and a super power up to help a player,3
2014-08-02 05:16:21,This game is wonderful,5
2016-03-26 06:31:55,Poop,5
2016-09-20 23:53:54,I love the game it's fun,5
2018-07-17 11:38:08,"Its like the best game ever and it just really addicting and fun great time 
killer loved it",5
2018-03-20 04:21:19,I love it but age of zombies I love but y dose it cost money on here but not on the I pad anyway I love the game I will never delete it,5
2017-07-01 05:51:16,This  game  is addictive,5
2015-02-20 23:21:31,Hero,5
2017-09-15 02:32:09,Amazing,5
2014-04-26 16:36:11,Amazingly super,5
2015-11-15 12:31:53,I love this game but I wish you guys would make the wave rider just make the wave rider just lots of money in the game and not real money but love the game,4
2014-10-07 16:18:43,Manda,4
2021-03-23 15:21:31,Love it used to play it when I was younger,5
2016-05-25 01:45:35,v v    cc.,5
2015-10-04 17:57:20,Best!!!!!!,5
2021-03-24 01:08:23,It's a classic game love it many others share the same feelings and some people may say that it's sort of p2w but I disagree because this game is a intended time killer casual game to play with friends and family well deserved 5 stars.,5
2016-03-16 08:59:58,It's cool cause you can fly around with a jetpack,5
2012-10-07 01:17:56,Addictive game but after first launch the game sound disappears plz fix.,5
2015-12-04 17:35:08,Unlimited fun,4
2013-12-26 03:47:38,Nice and easy for kids also competative and addictive for adults hahaha,5
2018-10-21 16:38:11,Best game ever,5
2012-12-11 04:51:19,"I've been playing this game for quite a while now and have bought some gadgets with coins aswell. But 3 have disappeared and I had to re-buy them. That was annoying, but otherwise the game is great!",3
2021-10-05 22:34:59,Best game I have ever played,5
2015-01-29 09:49:16,I loved this game but I got all the stars then it just started repeating the same missions over and over again.,3
2015-05-06 02:06:20,Pretty entertaining when ur bored,5
2018-03-04 18:18:25,I love the game,5
2016-09-06 11:54:54,RAINBOWS,5
2016-04-17 13:33:44,Graphics and game is very nice,5
2015-04-18 13:53:50,It was very hard to get coins here and I think they put a bunch of coin somewhere to get coins,1
2018-12-01 13:42:28,Needs to update leaderboards and more events but amazing game overall,5
2013-12-22 12:09:19,Good game,5
2016-03-26 01:54:05,I play on the game for a couple of days and then I played on it today and it all glitches the lasers and zappers and other stuff was weird pictures like the head of my character,3
2013-01-19 21:04:21,I died cuz of it right after the 750m head start Ifreaking died,4
2016-09-03 07:59:42,Awsome,5
2016-08-02 02:13:18,Pretty awesome Love it,5
2019-01-15 07:32:29,cool,5
2018-09-16 12:25:37,The Uganda knuckles,5
2015-12-26 19:17:17,Is the best game in the world,5
2017-11-05 08:56:37,Exelent ☺☺☺☺☺☺☺☺☺☺☺,5
2017-06-14 21:55:50,Fun,4
2012-11-22 09:50:47,Great work,5
2015-01-05 14:14:42,"Very nice , good characters",5
2013-07-14 09:58:43,How do I use the waverider??? It doesn't let me have it,4
2018-08-16 17:41:21,I loved it,5
2014-02-26 22:08:01,"On 5th day of sam, it stopped giving me tokens on pretext that internet was not there, though it was working perfectly on other apps.",1
2012-10-08 22:29:49,I bought 1 milliin gold yesterday and when I went on the game to play today all my gold was gone.  Either this is a bug and I demand either my money back or gold back..  or this game developer is a scam just taking your money,1
2015-01-24 04:00:13,Liked this game but not too much,3
2013-12-09 00:28:00,Ooooo,5
2015-07-05 08:10:26,!!!!!!!:)!!!!!cool game!!!!,5
2018-10-09 09:11:22,So Good game,5
2013-12-13 15:03:11,Excellent,5
2012-10-07 10:14:27,I prematurlely rated,2
2012-12-03 05:19:08,Game is pretty fun but it keeps taking away the upgrades and gadgets that I buy and I have to buy everything over again....,3
2014-06-30 11:22:01,It is awesome game,5
2014-07-24 07:56:07,Kelas 5A,5
2019-03-17 16:15:47,Nice,5
2013-05-03 08:24:10,Love playing,5
2014-12-02 11:26:32,"It wont even let me play , please fix this bug and i will rate 5 stars.",2
2017-06-21 01:59:23,I think It takes your mind off things,5
2014-08-05 06:59:33,Hey can you make sumthing new for the gravity suit,4
2020-10-02 16:52:07,Used to love this but now will not load at all,1
2020-03-28 02:29:07,Nonetheless no comments,5
2018-08-24 14:22:52,it's a cool game,5
2018-04-17 09:17:34,I lllllllllllllllllove this game 😜,5
2013-07-13 06:57:31,Luv this game,5
2016-12-28 04:50:05,I have been playing this game for years now it is so addicting and fun,5
2016-08-10 20:19:36,Nice game,5
2019-02-12 16:25:23,"awsome,epic,fun and more that i like then the other ones",5
2015-12-19 23:00:59,It is  a addiction,5
2014-02-16 21:51:03,,3
2014-07-02 08:23:16,awesome,5
2016-04-09 11:13:35,I give 5 star to this game,5
2012-10-10 01:57:28,p,5
2014-09-26 20:26:02,Kinda boring,5
2014-11-29 02:19:27,Halloween,5
2015-02-17 19:26:40,I like the puppy gadget,5
2012-10-14 17:14:43,Perfect. Thanks.,5
2019-01-08 09:55:50,Amazing songs and funny shenanigans is all it takes,5
2016-07-10 06:16:47,It was ok,4
2014-01-02 06:02:54,Onederful game,5
2013-07-17 19:54:12,Go!,5
2018-05-15 00:03:03,Very nice game,5
2017-08-27 12:09:10,I am very happy to play this game is very good and I have been playing up,5
2013-03-15 17:11:15,Awesome,5
2017-04-17 19:22:04,Very nice game,5
2018-07-10 01:27:10,Good,5
2015-07-30 15:34:34,Not good,5
2020-06-07 07:13:35,"Played a lot of jetpack years ago. Now it's full of ads and micros and that's not all bad, but it's kinda lame. What got me to uninstall was the bug that would freeze the game after a few ads and disrupt my progress. Not really playable at the moment, hoping it gets fixed. Oh and 5$ for an extra gadget slot? Really lame.",1
2017-03-25 21:06:03,Funny cool and addictive,5
2019-03-12 21:28:14,Never gets old,5
2020-08-07 01:22:01,"I love this game very much , i enjoy to play this game",5
2017-04-04 03:34:06,I like the game,3
2016-06-29 21:45:58,Awesome!,5
2014-02-25 23:21:31,Payan style,5
2012-10-12 05:44:43,Bet game ever,5
2012-10-31 12:26:24,Addixting,5
2014-03-23 14:17:17,Error 498!!!!,1
2020-12-05 01:09:56,"When could we expect a ""Match 3 + Jetpack Joyride"" or ""Match 3 + Fruit Ninja"" ???? Please......it would be awesome and addictive !!!!",5
2018-10-04 06:49:01,It's a nice nd addictive Game.. Relaxes my mind...,4
2014-03-04 02:09:07,I like it so much.,5
2014-02-10 00:26:56,Coolgames,5
2016-02-16 01:05:33,Gxkuecjis,3
2012-10-26 10:47:51,Very addicting game!,5
2014-09-26 01:13:38,Love it,5
2015-01-04 11:13:49,And I got the wave rider and slay of awesome for free,5
2014-06-14 21:38:01,The,5
2015-12-09 05:21:01,It won't let me on it just lag gs out and puts me on my home page at half bar loading plz fix I have android,1
2014-11-16 07:06:05,It pages sometimes it drives me crazy,4
2018-01-22 01:39:22,This is my most fav game!!,5
2013-06-29 06:53:36,I love this game,5
2015-07-27 06:02:20,I like it,5
2014-08-05 11:23:28,"Great all round game. One that you can get frustrated with but that is okay. Great graphics, not to harsh to the eye. As I said great all round game.",4
2020-10-14 17:46:54,best game🕹🎮🎮🎮🎮😍😍😍😍,5
2013-09-25 19:06:26,Make multiplayer,5
2019-05-29 01:08:01,i have played this game since day one and i have loved it every since,5
2018-02-07 01:58:38,Awsome action and power-ups,5
2015-02-17 11:12:18,WARNING DO NOT DOWNLOAD JET PACK JOY RIDE OR YOU WILL BE DOOMED !!!!!!!!!!!!!!!!!!!!!!!!!,1
2017-11-24 06:19:40,Hated it,1
2015-08-09 18:52:25,I like game. very nice game.,5
2016-12-16 00:34:51,Very fun I wouldn't play it all day but its an awesome game,4
2018-01-14 22:34:14,I love it,5
2013-10-02 14:59:27,Good superb,5
2015-03-01 22:35:16,Funfilled game,4
2017-05-26 10:31:18,This game is cool ✌✌,5
2017-11-12 20:01:37,It's amazing game,5
2016-01-30 21:00:24,I like jets and I like jetpack joyride,4
2015-03-08 08:37:16,My name is aidan ans id ebendmsmd,5
2018-02-21 01:20:27,It's a fun game,4
2017-10-23 21:53:02,Wonderful game,5
2018-09-13 03:52:49,It is pretty good,5
2017-03-06 08:27:27,This game is really entertaining to me because this is like one of the best joyride games I have played,5
2021-06-12 17:52:51,Fun,3
2015-10-03 14:24:09,Can you please add some of the classic items like Jetpacks and Clothing,4
2019-06-13 02:47:18,I have no idea what happened but I was playing and quit the game came back on and all of my progress was GONE. other than that problem it's a pretty good game,3
2025-05-26 00:51:48,this is a classic and back in my day I used to play jetpack joyride and now this beings back so many memories.,5
2013-07-28 15:13:55,Doesnt allow you to play on samsung galaxy ace,1
2013-06-27 14:45:52,I like to play this game with my friends,5
2014-08-02 08:49:00,I really want more jetpacks please,5
2014-01-10 21:31:58,Reminds me of 'storm the train' on my iPad great play,4
2014-06-28 03:36:10,What a fantastic game,5
2014-09-13 11:53:01,It's so amazing,5
2015-07-25 23:44:30,Its ok,3
2014-01-24 05:50:47,Love it ......................&lt;3,5
2022-08-10 23:27:25,This is the best game I have seen in Play Store.,5
2018-07-11 21:36:35,Best game ever,5
2017-01-14 19:56:25,This is the best game for adventure,5
2014-04-19 03:02:06,I have everything,5
2014-08-02 08:37:52,love playing it in free time,5
2013-01-13 18:01:13,I love running games yay,5
2016-05-01 14:12:59,If I play it make me happy,5
2020-12-02 16:58:33,Nice game att game,5
2016-11-10 07:41:28,Nevaeh has a lot of fun,5
2014-03-16 08:33:14,"I prefer the PS Vita version, it's a lot less sensitive in the controls and has way less lag, this just does my head in I've tried turning off HD but it just keeps happening it makes it really difficult to reach anything over 3,000m, fix the lag issue and it would be fine, for now only 3 stars",3
2013-07-26 16:04:45,Good game,5
2019-03-28 02:46:31,loved it,5
2018-01-04 21:08:44,"Good game, change the graphics and enhance them",4
2016-10-11 18:00:12,"every time i played for the second round, the game crashes right after i click the play again button. on some fortunate occasion the game couldbe play on second round but crash in the middle of my flight. this happen frequently after i bought counterfeit machine. i thought they remove ads not to crash the game? please look into this. i love your game since the first month it released 😀",4
2012-10-07 05:18:51,"Every time i try to install, it says i dont have enough storage space but i have more than enough. I have been waiting for jj to come out for android and now i cant get it. Any ideas?",1
2017-02-03 20:16:09,Good,5
2015-08-07 10:37:46,Great game I feel that it works best on ios,5
2014-08-21 10:58:50,I love it,5
2016-09-02 08:26:43,Nice game .,5
2014-03-08 22:21:17,Loved it,5
2013-10-12 16:02:34,Thanks for the game             .?,5
2013-11-11 09:42:05,OK,5
2016-02-04 07:09:47,Cool,5
2013-04-17 07:45:05,level par karo,2
2017-04-03 04:42:58,It sucks,5
2016-08-17 21:16:46,"I like it , it is sooo coool & funny",4
2021-09-18 22:26:29,Prefer it on console.,1
2013-09-05 02:54:04,Nice :-P,5
2014-12-14 02:48:04,it is so fun except the game sometimes deletes itself and makes me start over hope you get that bug fixed other than that its a good game.,4
2013-12-15 01:08:54,"Thanks for the best way to get it to be honest. It will take a moment. If you're interested, let us. It will take a moment. If you're interested, let us. It willing",5
2013-07-03 11:29:52,Always one of my favorite apps great quality,5
2017-06-23 02:47:44,I've played it and so far I am liking everything especially the cash piggy!😀😁,5
2016-12-27 02:39:49,Shity,1
2015-12-28 14:18:14,I love it,5
2015-03-04 20:42:39,Nice tartis,5
2017-03-15 20:30:28,It is a good game,5
2016-09-20 11:52:36,This game is very entertaining and the soundtrack is on point!,5
2015-10-18 00:20:09,I really love it. More cool stuff.,5
2021-03-20 08:16:52,Goodddd,5
2019-03-24 13:10:17,"game was so much better in its early stages. Now you can just spam revives until you run out. Not to mention the ad popups every second game. A lot of the time i get disheartened after losing a decent run, go to play another game, then an ad shows up and i nope out of the game because it just pushes me over the edge",3
2017-03-20 20:39:11,So cooooooooll,5
2012-11-23 23:04:11,It is so awesome that it has new gadgets that are useful to help you complete your missions and I rule :-P,5
2016-07-12 02:22:45,Awsome game even with sam,5
2018-01-06 04:29:51,It completely broke my phone,1
2015-12-14 02:04:51,Constant push notifications.,1
2017-05-06 15:55:38,It is a awsome games,5
2017-03-22 22:18:07,amazing,5
2022-10-10 16:36:49,"Bring the sequel to Android, and quit insulting your own fans who do not use Apple devices.",1
2017-09-13 17:25:56,It's awesome,5
2016-05-17 07:48:44,Ok game,1
2016-09-13 07:22:31,This game is a dream come true,5
2015-11-30 09:19:55,High kB he,5
2013-04-30 17:43:01,Best game to play !!!!,5
2015-09-02 20:27:18,I was pretty fun but it gets old when u keep playing it,4
2016-09-14 03:18:52,Never saw a game like it,5
2016-04-17 21:53:32,I hated it,1
2018-06-24 15:41:20,"This game is very nice, but maybe must add new jetpack and apdate ! I love 
this game 🤗😛😍",5
2014-08-24 09:29:24,Loved it,5
2015-11-29 07:57:58,I hope this game will be for ps3 also,4
2013-07-13 20:00:11,This game is awesome but I play it more on the PlayStation VITA,5
2017-01-02 05:54:10,its a cool game to play,5
2015-08-08 22:49:01,Game is a bordem buster!,4
2017-11-07 22:10:59,Its cool you can easily hack it using lucky patcher,5
2014-03-29 02:41:20,Great game! One of the best I've installed!,5
2014-11-29 16:22:47,สวัส่า,5
2014-03-18 06:06:50,love the jetpacks,5
2015-10-20 09:09:09,The game is so good !,5
2017-07-06 00:52:24,so cool savage to 😎😎😎😎😎☺☺☺😄😃,5
2016-04-30 05:24:14,Great game ten out of ten,5
2017-02-04 23:27:18,Nice game but so much MB,5
2013-01-05 09:22:58,Chandler11clubhouse,5
2014-11-01 13:22:41,Its totally cool I saw it on my friends mobile I loved the hack version not so cool cause it dose not work in. Tablets,3
2015-06-15 09:26:33,I hate it,2
2017-12-28 21:34:03,Love this this game! It is a must have!,5
2016-04-11 07:08:33,Cool things,5
2014-01-20 00:45:48,This is the best game ever,5
2018-02-19 05:30:13,Love app itsbso guuun,5
2016-09-04 21:49:19,I loved it,5
2014-01-31 03:12:31,My sister likes this game and it's got a poker machine in it!!!!!!!!!!!!!!! NOT FOR LOW MATURITY!!!!!!!!!!!!!!!!!!!!!!!!,1
2014-10-24 16:45:22,It has some bugs but still it's a good game,5
2015-08-30 15:26:00,I love this Game !!!,5
2013-08-19 08:32:02,Best game ever!,5
2018-01-26 16:01:15,Like it,5
2016-06-26 09:04:01,Because I felt like it deal wiv dat,1
2016-03-05 17:39:23,Excellent,5
2017-11-24 19:39:52,I love this game,5
2018-12-17 00:25:45,Super fun!,5
2016-08-27 03:59:37,Tis good game.,5
2014-06-21 18:49:42,Good game,4
2013-07-10 22:02:07,Bestgame ever,5
2018-07-30 07:09:37,I did,5
2016-10-27 03:25:05,Good,5
2016-01-22 15:04:41,Love it,5
2016-04-09 09:21:19,Hardney,5
2015-08-12 15:00:52,Loved this epic game!,5
2018-06-24 07:05:05,I. Love. IT,5
2014-12-25 07:21:45,I love it,5
2016-06-08 02:24:32,It's a great game go kill time download it now!!!!!,3
2017-04-17 00:18:45,It is great and adictive,5
2021-12-16 10:42:25,Grate game. But now you have to pay for stuff you had for free.,3
2014-02-14 04:02:20,Very fun when bored :),5
2016-10-30 08:13:58,Never gets old. Classic,5
2012-11-19 05:13:49,It could get a 5 star rating if it did not lag so much,3
2017-02-05 13:34:12,Good graphics,4
2016-12-20 05:54:43,Awesome,5
2014-03-15 13:40:41,Fun to play ......... but hangs @ tyms,4
2018-08-06 16:59:46,Very nice game loved it,5
2016-04-04 00:35:07,It would be better if you could get SAM without INTERNET because I don't really see why it needs internet in the first place,4
2016-03-09 00:02:43,د,5
2015-07-26 16:20:47,It sucks,1
